,name,adress,rooms,size,level,price,repair,wall
0,Бизнес в аренду,"город Ташкент, Мирабадский район",87 м²,Черновая отделка,Кирпичный,1 000 у.е./мес.,,
1,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район",2,55 м²,15/21,1 400 у.е./мес.,Евроремонт,Монолитный
2,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,53 м²,1/4,700 у.е./мес.,Евроремонт,Кирпичный
3,4-комнатная квартира на продажу,"город Ташкент, Учтепинский район",4,111 м²,5/8,85 000 у.е.,Черновая отделка,Кирпичный
4,3-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",3,65 м²,1/4,650 у.е./мес.,Черновая отделка,Кирпичный
5,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",2,43 м²,4/4,54 300 у.е.,Евроремонт,Панельный
6,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",2,45 м²,1/4,49 000 у.е.,Черновая отделка,Панельный
7,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,48 м²,4/4,400 у.е./мес.,Черновая отделка,Панельный
8,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",1,40 м²,1/4,42 900 у.е.,Черновая отделка,Кирпичный
9,Жилой земельный участок на продажу,"Самаркандская область, Самарканд",6 сот.,,,40 000 у.е.,,
10,3-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, жилой комплекс Boulevard Международный деловой центр Tashkent City",3,75 м²,6/7,1 600 у.е./мес.,Евроремонт,Кирпичный
11,2-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",2,45 м²,4/4,600 у.е./мес.,Евроремонт,Панельный
12,1-комнатная квартира в аренду,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",1,30 м²,1/4,400 у.е./мес.,Евроремонт,Панельный
13,3-комнатная квартира на продажу,"город Ташкент, Сергелийский район",3,60 м²,7/7,54 000 у.е.,Средний,Кирпичный
14,2-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",2,50 м²,3/4,50 500 у.е.,Средний,Панельный
15,4-комнатная дача на продажу,"город Ташкент, Бектемирский район, Юкори Чирчик",4,7 сот.,200 м²,110 000 у.е.,Евроремонт,Кондиционер
16,3-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Ганга",3,72 м²,5/9,74 000 у.е.,Требует ремонта,Монолитный
17,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Дархан",2,55 м²,7/9,800 у.е./мес.,Евроремонт,Панельный
18,6+ комнатная квартира на продажу,"город Ташкент, Юнусабадский район",6+,248 м²,7/8,310 000 у.е.,Лифт,Телефонная линия
19,6+ комнатный частный дом на продажу,"город Ташкент, Шайхантахурский район",6+,6.2 сот.,250 м²,360 000 у.е.,Средний,Кирпичный
20,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Ислама Каримова",2,65 м²,3/4,1 100 у.е./мес.,Черновая отделка,Кирпичный
21,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район",2,50 м²,10/12,1 600 у.е./мес.,Евроремонт,Кирпичный
22,4-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Абдуллы Каххара",4,140 м²,3/7,3 000 у.е./мес.,Телефонная линия,Кондиционер
23,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Фидокор",3,130 м²,3/9,2 500 у.е./мес.,Лифт,Парковочное место
24,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Нукус",4,182 м²,3/7,2 000 у.е./мес.,Лифт,Телефонная линия
25,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Нукус",4,214 м²,3/9,3 000 у.е./мес.,Холодильник,Газоснабжение
26,1-комнатная квартира в аренду,"город Ташкент, Юнусабадский район",1,40 м²,2/4,650 у.е./мес.,Евроремонт,Панельный
27,Бизнес в аренду,"город Ташкент, Мирзо-Улугбекский район",6+,1 100 м²,2/2,11 000 у.е./мес.,Требует ремонта,Кирпичный
