,name,adress,rooms,size,level,repair,wall,price
0,1-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Кушбеги",1,40 м²,2/5,Черновая отделка,Панельный,350 у.е./мес.
1,2-комнатная квартира на продажу,"город Ташкент, Яшнободский район",2,58 м²,3/8,Требует ремонта,Кирпичный,53 000 у.е.
2,6+ комнатный частный дом на продажу,"город Ташкент, Яшнободский район, Шумиловский городок",6+,2 сот.,170 м²,Евроремонт,Кирпичный,150 000 у.е.
3,6+ комнатный частный дом на продажу,"город Ташкент, Сергелийский район",6+,7 сот.,200 м²,Черновая отделка,Другое,120 000 у.е.
4,Производство на продажу,"город Ташкент, Сергелийский район, Саъдий",2 500 м²,1/1,Черновая отделка,Кирпичный,Парковочное место,139 000 у.е.
5,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Олой",2,51 м²,2/9,Евроремонт,Кирпичный,1 200 у.е./мес.
6,2-комнатная квартира на продажу,"город Ташкент, Янгихаётский район",2,45 м²,7/7,Средний,Кирпичный,47 500 у.е.
7,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",2,68 м²,9/9,Евроремонт,Кирпичный,1 800 у.е./мес.
8,4-комнатная квартира в аренду,"город Ташкент, Юнусабадский район",4,125 м²,1/5,Евроремонт,Кирпичный,800 у.е./мес.
9,2-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Хадра",2,60 м²,4/9,Черновая отделка,Панельный,700 у.е./мес.
10,3-комнатная квартира в аренду,"город Ташкент, Юнусабадский район",3,70 м²,6/13,Евроремонт,Кирпичный,800 у.е./мес.
11,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Саида Барака",2,73 м²,1/9,Евроремонт,Кирпичный,1 000 у.е./мес.
12,2-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Махтумкули",2,75 м²,9/9,Евроремонт,Кирпичный,850 у.е./мес.
13,3-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",3,91 м²,4/7,Евроремонт,Кирпичный,2 000 у.е./мес.
14,2-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Мавлоно Риёзи",2,60 м²,7/9,Евроремонт,Панельный,650 у.е./мес.
15,1-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",1,51 м²,6/6,Евроремонт,Кирпичный,600 у.е./мес.
16,1-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Юнусабад 19-й квартал",1,44 м²,7/7,Евроремонт,Кирпичный,600 у.е./мес.
17,2-комнатная квартира в аренду,"город Ташкент, Яшнободский район, Гузал",2,51 м²,5/5,Евроремонт,Кирпичный,650 у.е./мес.
18,2-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Юнусабад-7",2,54 м²,2/4,Требует ремонта,,45 000 у.е.
19,4-комнатный частный дом на продажу,"Самаркандская область, Самарканд",4,2 сот.,80 м²,Средний,Кирпичный,52 000 у.е.
20,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район",3,75 м²,3/9,Евроремонт,Холодильник,1 000 у.е./мес.
21,3-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Ирригатор",3,130 м²,5/6,Евроремонт,Кирпичный,200 000 у.е.
22,3-комнатная квартира на продажу,"город Ташкент, Олмазорский район",3,72 м²,5/9,Черновая отделка,Панельный,57 500 у.е.
23,2-комнатная квартира на продажу,"город Ташкент, Олмазорский район",2,60 м²,4/9,Черновая отделка,Панельный,46 500 у.е.
24,4-комнатная квартира на продажу,"город Ташкент, Олмазорский район",4,85 м²,4/4,Средний,Кирпичный,87 000 у.е.
25,6+ комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Чорсу",6+,115 м²,4/5,Черновая отделка,Панельный,95 000 у.е.
26,6+ комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Дархан",6+,562 м²,9/9,Требует ремонта,Кирпичный,400 000 у.е.
27,1-комнатная квартира на продажу,"Самаркандская область, Булунгурский район",1,35 м²,1/2,Средний,Кирпичный,12 000 у.е.
28,3-комнатная квартира на продажу,"город Ташкент, Яккасарайский район",3,103 м²,8/10,Евроремонт,Кирпичный,120 000 у.е.
29,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-6",1,30 м²,2/4,Евроремонт,,39 500 у.е.
30,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-8",1,30 м²,4/4,Черновая отделка,Кирпичный,35 500 у.е.
31,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Мукими",1,30 м²,2/4,Евроремонт,Кирпичный,42 000 у.е.
32,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Чиланзар-1",1,36 м²,4/5,Евроремонт,Кирпичный,41 800 у.е.
33,3-комнатная квартира на продажу,"город Ташкент, Яккасарайский район, Дилбулок",3,80 м²,5/8,Требует ремонта,Кирпичный,125 000 у.е.
34,6+ комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Goldhill",6+,278 м²,7/7,Евроремонт,Кирпичный,245 000 у.е.
35,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Госпитальный",2,65 м²,5/8,Евроремонт,Кирпичный,1 300 у.е./мес.
36,4-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Буюк Турон",4,116 м²,9/10,Евроремонт,Кирпичный,190 000 у.е.
37,Бизнес на продажу,"город Ташкент, Чиланзарский район",60 м²,Евроремонт,Кондиционер,Интернет,Видеонаблюдение,69 000 у.е.
38,Бизнес на продажу,"город Ташкент, Чиланзарский район",60 м²,Евроремонт,Кондиционер,Интернет,Видеонаблюдение,69 000 у.е.
39,Бизнес на продажу,"город Ташкент, Чиланзарский район",34 м²,Средний,Кирпичный,,,47 000 у.е.
40,Бизнес на продажу,"город Ташкент, Чиланзарский район",46 м²,Средний,Кирпичный,,,44 000 у.е.
41,4-комнатная квартира на продажу,"город Ташкент, Чиланзарский район",4,60 м²,1/4,Евроремонт,Панельный,75 000 у.е.
42,3-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район",3,75 м²,2/4,Черновая отделка,Кирпичный,90 000 у.е.
43,3-комнатная квартира в аренду,"город Ташкент, Шайхантахурский район",3,115 м²,2/9,Евроремонт,Кирпичный,2 200 у.е./мес.
44,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Афросиаб",3,103 м²,4/4,Евроремонт,Кирпичный,900 у.е./мес.
45,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Нукус",4,186 м²,6/9,Евроремонт,Кирпичный,2 000 у.е./мес.
46,3-комнатная квартира в аренду,"город Ташкент, Сергелийский район, Сергели-V",3,78 м²,7/9,Черновая отделка,Панельный,350 у.е./мес.
47,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район",3,100 м²,1/6,Евроремонт,Кирпичный,1 200 у.е./мес.
48,3-комнатная квартира в аренду,"город Ташкент, Юнусабадский район",3,99 м²,5/10,Евроремонт,Кирпичный,2 000 у.е./мес.
49,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Шахрисабз",4,200 м²,4/8,Евроремонт,Кирпичный,2 000 у.е./мес.
50,1-комнатная квартира на продажу,"город Ташкент, Яккасарайский район",1,18.36 м²,2/4,Черновая отделка,Кирпичный,21 000 у.е.
51,3-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Шарафа Рашидова",3,105 м²,4/9,Евроремонт,Кирпичный,1 200 у.е./мес.
52,3-комнатная квартира на продажу,"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",3,71 м²,3/5,Черновая отделка,Панельный,75 000 у.е.
53,2-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Кызыларватская",2,48 м²,4/4,Средний,Кирпичный,300 у.е./мес.
54,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Феруза-1",2,48 м²,1/4,Средний,Панельный,50 000 у.е.
