adress,rooms,size,measure,level,repair,wall,price,status
 Сергелийский район,3,83,,3/9,Авторский проект,Монолитный,500,аренду
 Яшнободский район,1,40,,3/9,Евроремонт,Панельный,450,аренду
 Мирабадский район,3,93,,7/9,Евроремонт,Панельный,1 000,аренду
 Мирабадский район,2,60,,3/4,Авторский проект,Кирпичный,1 200,аренду
 Шайхантахурский район,2,50,,2/4,Евроремонт,Кирпичный,700,аренду
 Юнусабадский район,2,40,,1/4,Евроремонт,Кирпичный,700,аренду
 Юнусабадский район,1,40,,1/4,Евроремонт,Кирпичный,700,аренду
 Мирзо-Улугбекский район,2,50,,5/5,Евроремонт,Кирпичный,500,аренду
 Юнусабадский район,2,60,,7/9,Евроремонт,Панельный,550,аренду
 Юнусабадский район,1,40,,4/4,Евроремонт,Кирпичный,650,аренду
 Мирабадский район,2,90,,7/9,Авторский проект,Кирпичный,1 000,аренду
 Мирабадский район,3,75,,8/9,Евроремонт,Панельный,1 150,аренду
 Мирзо-Улугбекский район,3,75,,7/9,Авторский проект,Панельный,1 000,аренду
 Мирабадский район,3,80,,8/9,Евроремонт,Панельный,1 200,аренду
 Мирзо-Улугбекский район,2,50,,18/25,Авторский проект,Монолитный,1 300,аренду
 Яшнободский район,2,55,,1/16,Евроремонт,Кирпичный,650,аренду
 Юнусабадский район,3,98,,4/8,Евроремонт,Кирпичный,1 000,аренду
 Яккасарайский район,2,60,,4/4,Авторский проект,Кирпичный,700,аренду
 Юнусабадский район,3,95,,4/9,Евроремонт,Кирпичный,1 000,аренду
 Шайхантахурский район,2,54,,3/3,Средний,Кирпичный,700,аренду
 Мирзо-Улугбекский район,2,60,,6/9,Евроремонт,Панельный,650,аренду
 Мирзо-Улугбекский район,2,65,,7/9,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,3,70,,4/4,Евроремонт,Кирпичный,800,аренду
 Чиланзарский район,1,33,,2/4,Средний,Панельный,250,аренду
 Шайхантахурский район,2,86,,8/9,Евроремонт,Кирпичный,1 300,аренду
 Юнусабадский район,2,60,,3/5,Средний,Кирпичный,550,аренду
 Мирабадский район,3,70,,2/9,Евроремонт,Панельный,800,аренду
 Чиланзарский район,1,30,,3/4,Евроремонт,Панельный,394.22,аренду
 Яккасарайский район,3,75,,2/9,Евроремонт,Панельный,1 000,аренду
 Яккасарайский район,3,70,,4/5,Евроремонт,Кирпичный,1 000,аренду
 Мирабадский район,2,65,,3/4,Евроремонт,Кирпичный,750,аренду
 Олмазорский район,3,75,,4/5,Средний,Панельный,450,аренду
 Юнусабадский район,3,70,,2/5,Евроремонт,Панельный,600,аренду
 Мирабадский район,3,80,,1/4,Евроремонт,Кирпичный,700,аренду
 Сергелийский район,2,48,,3/5,Средний,Панельный,300,аренду
 Мирзо-Улугбекский район,3,80,,3/5,Евроремонт,Кирпичный,850,аренду
 Мирзо-Улугбекский район,2,65,,7/9,Евроремонт,Кирпичный,1 100,аренду
 Мирзо-Улугбекский район,2,65,,7/9,Евроремонт,Кирпичный,1 100,аренду
 Мирабадский район,2,80,,4/9,Евроремонт,Кирпичный,750,аренду
 Мирзо-Улугбекский район,2,45,,2/7,Евроремонт,Кирпичный,400,аренду
 Мирзо-Улугбекский район,1,50,,8/10,Евроремонт,Кирпичный,600,аренду
 Шайхантахурский район,3,80,,6/9,Средний,Монолитный,700,аренду
 Мирабадский район,2,55,,1/5,Средний,Кирпичный,400,аренду
 Яккасарайский район,2,68,,6/8,Авторский проект,Кирпичный,1 300,аренду
 Мирабадский район,3,100,,2/8,Евроремонт,Кирпичный,1 800,аренду
 Мирабадский район,2,50,,6/9,Евроремонт,Кирпичный,800,аренду
 Сергелийский район,2,48,,5/7,Средний,Кирпичный,385.46,аренду
 Яшнободский район,2,50,,1/4,Евроремонт,Кирпичный,700,аренду
 Мирабадский район,3,80,,9/9,Евроремонт,Панельный,450,аренду
 Мирзо-Улугбекский район,1,40,,4/4,Средний,Кирпичный,450,аренду
 Юнусабадский район,2,50,,3/4,Евроремонт,Кирпичный,1 000,аренду
 Яшнободский район,2,40,,4/4,Средний,Кирпичный,350,аренду
 Олмазорский район,2,66,,6/9,Авторский проект,Монолитный,700,аренду
 Мирзо-Улугбекский район,2,60,,3/9,Евроремонт,Панельный,400,аренду
 Мирабадский район,3,70,,2/4,Евроремонт,Кирпичный,700,аренду
 Яшнободский район,2,50,,4/9,Евроремонт,Панельный,500,аренду
 Мирзо-Улугбекский район,4,90,,3/5,Евроремонт,Кирпичный,1 250,аренду
 Юнусабадский район,4,90,,5/9,Евроремонт,Панельный,1 000,аренду
 Мирабадский район,6+,1.5 сот.,,250 м²,3,Евроремонт,900,аренду
 Мирзо-Улугбекский район,3,75,,2/7,Евроремонт,Кирпичный,750,аренду
 Мирзо-Улугбекский район,2,65,,18/25,Евроремонт,Кирпичный,1 200,аренду
 Мирзо-Улугбекский район,4,90,,4/4,Авторский проект,Кирпичный,1 500,аренду
 Юнусабадский район,1,42,,4/4,Евроремонт,Кирпичный,650,аренду
 Чиланзарский район,1,45,,6/7,Евроремонт,Кирпичный,60,аренду
 Мирзо-Улугбекский район,2,65,,2/9,Евроремонт,Панельный,800,аренду
 Яккасарайский район,2,65,,3/8,Евроремонт,Кирпичный,850,аренду
 Мирабадский район,3,79,,8/12,Авторский проект,Кирпичный,2 500,аренду
 Мирабадский район,2,50,,4/8,Евроремонт,Кирпичный,900,аренду
 Мирзо-Улугбекский район,2,60,,4/9,Черновая отделка,Панельный,800,аренду
 Мирабадский район,2,50,,4/9,Евроремонт,Кирпичный,700,аренду
 Яккасарайский район,53 м²,1/8,,Евроремонт,Кирпичный,Парковочное место,1 150,аренду
 Чиланзарский район,1,48,,6/7,Евроремонт,Кирпичный,600,аренду
 Шайхантахурский район,3,103,,5/7,Авторский проект,Кирпичный,1 400,аренду
 Мирзо-Улугбекский район,6+,7 сот.,,400 м²,2,Евроремонт,5 000,аренду
 Яккасарайский район,2,68,,6/8,Евроремонт,Кирпичный,1 300,аренду
 Мирзо-Улугбекский район,1,30,,3/7,Евроремонт,Кирпичный,450,аренду
 Чиланзарский район,1,49,,6/9,Евроремонт,Монолитный,600,аренду
 Яккасарайский район,3,75,,2/9,Евроремонт,Панельный,1 000,аренду
 Чиланзарский район,3,75,,3/8,Евроремонт,Кирпичный,800,аренду
 Яккасарайский район,2,52,,3/4,Средний,Кирпичный,800,аренду
 Мирзо-Улугбекский район,3,120,,5/8,Авторский проект,Кирпичный,2 200,аренду
 Мирабадский район,2,58,,8/9,Средний,Монолитный,650,аренду
 Яккасарайский район,2,56,,5/9,Авторский проект,Панельный,1 000,аренду
 Мирабадский район,3,85,,3/4,Евроремонт,Кирпичный,800,аренду
 Мирзо-Улугбекский район,4,90,,4/4,Авторский проект,Кирпичный,1 500,аренду
 Яккасарайский район,3,78,,4/9,Авторский проект,Монолитный,1 000,аренду
 Яккасарайский район,3,110,,4/7,Авторский проект,Блочный,1 600,аренду
 Мирабадский район,6+,4 сот.,,300 м²,2,Авторский проект,3 000,аренду
 Мирабадский район,2,72,,2/9,Евроремонт,Панельный,550,аренду
 Мирзо-Улугбекский район,3,76,,7/9,Авторский проект,Панельный,700,аренду
 Юнусабадский район,3,88,,4/4,Средний,Кирпичный,800,аренду
 Шайхантахурский район,2,65,,7/9,Евроремонт,Панельный,600,аренду
 Юнусабадский район,3,87,,4/4,Евроремонт,Кирпичный,800,аренду
 Юнусабадский район,3,72,,2/4,Средний,Панельный,450,аренду
 Яккасарайский район,1,30,,1/1,Средний,Кирпичный,30,аренду
 Мирзо-Улугбекский район,3,58,,4/5,Евроремонт,Кирпичный,650,аренду
 Чиланзарский район,1,33,,4/4,Авторский проект,Панельный,500,аренду
 Мирабадский район,3,76,,8/9,Евроремонт,Панельный,1 200,аренду
 Юнусабадский район,3,87,,4/4,Средний,Кирпичный,800,аренду
 Яккасарайский район,3,68,,10/12,Евроремонт,Другое,1 000,аренду
 Юнусабадский район,2,60,,9/9,Евроремонт,Панельный,600,аренду
 Яккасарайский район,4,125,,3/4,Авторский проект,Кирпичный,1 500,аренду
 Юнусабадский район,2,83,,5/9,Евроремонт,Монолитный,600,аренду
 Яккасарайский район,3,103,,3/4,Средний,Кирпичный,800,аренду
 Юнусабадский район,5,100,,7/13,Евроремонт,Монолитный,1 800,аренду
 Мирабадский район,3,120,,1/5,Евроремонт,Кирпичный,1 200,аренду
 Чиланзарский район,2,45,,3/4,Евроремонт,Панельный,450,аренду
 Мирзо-Улугбекский район,3,59,,4/5,Авторский проект,Кирпичный,650,аренду
 Шайхантахурский район,3,112,,7/9,Евроремонт,Кирпичный,2 500,аренду
 Шайхантахурский район,3,112,,3/9,Евроремонт,Кирпичный,2 500,аренду
 Шайхантахурский район,3,95,,4/9,Евроремонт,Кирпичный,1 700,аренду
 Юнусабадский район,2,60,,7/9,Евроремонт,Панельный,500,аренду
 Шайхантахурский район,4,125,,4/9,Евроремонт,Кирпичный,3 500,аренду
 Мирабадский район,2,63,,2/9,Евроремонт,Панельный,550,аренду
 Шайхантахурский район,3,104,,7/9,Евроремонт,Кирпичный,2 200,аренду
 Яккасарайский район,2,45,,5/7,Авторский проект,Кирпичный,700,аренду
 Чиланзарский район,Студия,40,,2/7,Евроремонт,Кирпичный,550,аренду
 Шайхантахурский район,3,95,,3/8,Евроремонт,Кирпичный,2 000,аренду
 Юнусабадский район,3,76,,4/8,Евроремонт,Кирпичный,900,аренду
 Мирабадский район,4,188,,7/8,Евроремонт,Кирпичный,1 500,аренду
 Юнусабадский район,3,90,,9/9,Евроремонт,Кирпичный,1 000,аренду
 Яккасарайский район,6+,6 сот.,,600 м²,2,Евроремонт,3 600,аренду
 Мирзо-Улугбекский район,1,40,,1/4,Средний,Кирпичный,550,аренду
 Чиланзарский район,4,174,,7/9,Евроремонт,Панельный,600,аренду
 Чиланзарский район,2,56,,4/9,Евроремонт,Монолитный,700,аренду
 Мирзо-Улугбекский район,2,62,,4/9,Авторский проект,Кирпичный,700,аренду
 Мирзо-Улугбекский район,3,100,,6/9,Евроремонт,Кирпичный,800,аренду
 Юнусабадский район,3,100,,6/10,Евроремонт,Кирпичный,2 000,аренду
 Шайхантахурский район,2,54,,4/4,Средний,Кирпичный,350,аренду
 Юнусабадский район,2,60,,3/5,Евроремонт,Кирпичный,600,аренду
 Чиланзарский район,4,100,,4/9,Евроремонт,Монолитный,800,аренду
 Мирзо-Улугбекский район,3,102,,6/8,Евроремонт,Кирпичный,1 000,аренду
 Юнусабадский район,4,90,,2/9,Евроремонт,Панельный,900,аренду
 Мирабадский район,4,190,,6/8,Евроремонт,Кирпичный,2 000,аренду
 Мирабадский район,4,175,,6/9,Евроремонт,Другое,1 500,аренду
 Мирабадский район,4,104,,6/9,Евроремонт,Панельный,800,аренду
 Юнусабадский район,3,102,,4/9,Евроремонт,Кирпичный,1 200,аренду
 Мирабадский район,2,50,,2/4,Евроремонт,Кирпичный,500,аренду
 Шайхантахурский район,3,72,,2/9,Евроремонт,Панельный,550,аренду
 Мирзо-Улугбекский район,3,70,,4/9,Средний,Панельный,300,аренду
 Яккасарайский район,3,70,,1/4,Евроремонт,Кирпичный,800,аренду
 Яшнободский район,2,50,,3/4,Евроремонт,Кирпичный,500,аренду
 Шайхантахурский район,2,50,,2/5,Евроремонт,Кирпичный,600,аренду
 Учтепинский район,60 м²,1/4,,Евроремонт,Панельный,Кондиционер,600,аренду
 Яшнободский район,1,39,,6/9,Евроремонт,Другое,450,аренду
 Шайхантахурский район,3,70,,3/4,Евроремонт,Кирпичный,850,аренду
 Чиланзарский район,2,50,,3/4,Евроремонт,Кирпичный,600,аренду
 Чиланзарский район,1,30,,2/4,Евроремонт,Кирпичный,450,аренду
 Мирзо-Улугбекский район,2,60,,5/7,Евроремонт,Кирпичный,600,аренду
 Яккасарайский район,6+,9 сот.,,900 м²,2,Евроремонт,3 600,аренду
 Юнусабадский район,2,60,,2/4,Авторский проект,Кирпичный,900,аренду
 Чиланзарский район,3,80,,6/9,Евроремонт,Панельный,110 000,аренду
 Мирабадский район,6+,140,,8/9,Евроремонт,Кирпичный,1 800,аренду
 Шайхантахурский район,2,48,,3/9,Евроремонт,Панельный,800,аренду
 Мирзо-Улугбекский район,3,84,,9/16,Средний,Монолитный,450,аренду
 Мирзо-Улугбекский район,2,55,,4/4,Авторский проект,Кирпичный,800,аренду
 Яккасарайский район,3,70,,6/9,Средний,Панельный,450,аренду
 Чиланзарский район,1,39,,3/4,Авторский проект,Панельный,380,аренду
 Яккасарайский район,3,80,,1/16,Евроремонт,Монолитный,800,аренду
 Мирзо-Улугбекский район,4,108,,1/8,Евроремонт,Другое,1 600,аренду
 Мирзо-Улугбекский район,2,50,,4/4,Евроремонт,Кирпичный,700,аренду
 Чиланзарский район,2,50,,2/5,Евроремонт,Кирпичный,600,аренду
 Мирабадский район,4,90,,2/4,Евроремонт,Кирпичный,1 000,аренду
 Мирзо-Улугбекский район,4,108,,1/8,Евроремонт,Кирпичный,1 600,аренду
 Мирзо-Улугбекский район,2,42,,9/12,Евроремонт,Кирпичный,850,аренду
 Чиланзарский район,2,50,,6/9,Авторский проект,Монолитный,800,аренду
 Чиланзарский район,2,45,,3/4,Авторский проект,Панельный,300,аренду
 Чиланзарский район,1,30,,2/4,Средний,Кирпичный,300,аренду
 Яккасарайский район,1,60,,2/12,Евроремонт,Другое,650,аренду
 Яшнободский район,2,30,,4/5,Евроремонт,Блочный,500,аренду
 Юнусабадский район,1,43,,4/5,Евроремонт,Кирпичный,320,аренду
 Юнусабадский район,3,70,,2/4,Средний,Кирпичный,600,аренду
