adress,rooms,size,floor,level,repair,wall,price
 Сергелийский район,3,83.0,3,9,Авторский проект,Монолитный,500.0
 Яшнободский район,1,40.0,3,9,Евроремонт,Панельный,450.0
 Мирабадский район,3,93.0,7,9,Евроремонт,Панельный,1000.0
 Мирабадский район,2,60.0,3,4,Авторский проект,Кирпичный,1200.0
 Шайхантахурский район,2,50.0,2,4,Евроремонт,Кирпичный,700.0
 Юнусабадский район,2,40.0,1,4,Евроремонт,Кирпичный,700.0
 Юнусабадский район,1,40.0,1,4,Евроремонт,Кирпичный,700.0
 Мирзо-Улугбекский район,2,50.0,5,5,Евроремонт,Кирпичный,500.0
 Юнусабадский район,2,60.0,7,9,Евроремонт,Панельный,550.0
 Юнусабадский район,1,40.0,4,4,Евроремонт,Кирпичный,650.0
 Мирабадский район,2,90.0,7,9,Авторский проект,Кирпичный,1000.0
 Мирабадский район,3,75.0,8,9,Евроремонт,Панельный,1150.0
 Мирзо-Улугбекский район,3,75.0,7,9,Авторский проект,Панельный,1000.0
 Мирабадский район,3,80.0,8,9,Евроремонт,Панельный,1200.0
 Мирзо-Улугбекский район,2,50.0,18,25,Авторский проект,Монолитный,1300.0
 Яшнободский район,2,55.0,1,16,Евроремонт,Кирпичный,650.0
 Юнусабадский район,3,98.0,4,8,Евроремонт,Кирпичный,1000.0
 Яккасарайский район,2,60.0,4,4,Авторский проект,Кирпичный,700.0
 Юнусабадский район,3,95.0,4,9,Евроремонт,Кирпичный,1000.0
 Шайхантахурский район,2,54.0,3,3,Средний,Кирпичный,700.0
 Мирзо-Улугбекский район,2,60.0,6,9,Евроремонт,Панельный,650.0
 Мирзо-Улугбекский район,2,65.0,7,9,Евроремонт,Кирпичный,1200.0
 Мирзо-Улугбекский район,3,70.0,4,4,Евроремонт,Кирпичный,800.0
 Чиланзарский район,1,33.0,2,4,Средний,Панельный,250.0
 Шайхантахурский район,2,86.0,8,9,Евроремонт,Кирпичный,1300.0
 Юнусабадский район,2,60.0,3,5,Средний,Кирпичный,550.0
 Мирабадский район,3,70.0,2,9,Евроремонт,Панельный,800.0
 Чиланзарский район,1,30.0,3,4,Евроремонт,Панельный,394.22
 Яккасарайский район,3,75.0,2,9,Евроремонт,Панельный,1000.0
 Яккасарайский район,3,70.0,4,5,Евроремонт,Кирпичный,1000.0
 Мирабадский район,2,65.0,3,4,Евроремонт,Кирпичный,750.0
 Олмазорский район,3,75.0,4,5,Средний,Панельный,450.0
 Юнусабадский район,3,70.0,2,5,Евроремонт,Панельный,600.0
 Мирабадский район,3,80.0,1,4,Евроремонт,Кирпичный,700.0
 Сергелийский район,2,48.0,3,5,Средний,Панельный,300.0
 Мирзо-Улугбекский район,3,80.0,3,5,Евроремонт,Кирпичный,850.0
 Мирзо-Улугбекский район,2,65.0,7,9,Евроремонт,Кирпичный,1100.0
 Мирзо-Улугбекский район,2,65.0,7,9,Евроремонт,Кирпичный,1100.0
 Мирабадский район,2,80.0,4,9,Евроремонт,Кирпичный,750.0
 Мирзо-Улугбекский район,2,45.0,2,7,Евроремонт,Кирпичный,400.0
 Мирзо-Улугбекский район,1,50.0,8,10,Евроремонт,Кирпичный,600.0
 Шайхантахурский район,3,80.0,6,9,Средний,Монолитный,700.0
 Мирабадский район,2,55.0,1,5,Средний,Кирпичный,400.0
 Яккасарайский район,2,68.0,6,8,Авторский проект,Кирпичный,1300.0
 Мирабадский район,3,100.0,2,8,Евроремонт,Кирпичный,1800.0
 Мирабадский район,2,50.0,6,9,Евроремонт,Кирпичный,800.0
 Сергелийский район,2,48.0,5,7,Средний,Кирпичный,385.46
 Яшнободский район,2,50.0,1,4,Евроремонт,Кирпичный,700.0
 Мирабадский район,3,80.0,9,9,Евроремонт,Панельный,450.0
 Мирзо-Улугбекский район,1,40.0,4,4,Средний,Кирпичный,450.0
 Юнусабадский район,2,50.0,3,4,Евроремонт,Кирпичный,1000.0
 Яшнободский район,2,40.0,4,4,Средний,Кирпичный,350.0
 Олмазорский район,2,66.0,6,9,Авторский проект,Монолитный,700.0
 Мирзо-Улугбекский район,2,60.0,3,9,Евроремонт,Панельный,400.0
 Мирабадский район,3,70.0,2,4,Евроремонт,Кирпичный,700.0
 Яшнободский район,2,50.0,4,9,Евроремонт,Панельный,500.0
 Мирзо-Улугбекский район,4,90.0,3,5,Евроремонт,Кирпичный,1250.0
 Юнусабадский район,4,90.0,5,9,Евроремонт,Панельный,1000.0
 Мирзо-Улугбекский район,3,75.0,2,7,Евроремонт,Кирпичный,750.0
 Мирзо-Улугбекский район,2,65.0,18,25,Евроремонт,Кирпичный,1200.0
 Мирзо-Улугбекский район,4,90.0,4,4,Авторский проект,Кирпичный,1500.0
 Юнусабадский район,1,42.0,4,4,Евроремонт,Кирпичный,650.0
 Чиланзарский район,1,45.0,6,7,Евроремонт,Кирпичный,60.0
 Мирзо-Улугбекский район,2,65.0,2,9,Евроремонт,Панельный,800.0
 Яккасарайский район,2,65.0,3,8,Евроремонт,Кирпичный,850.0
 Мирабадский район,3,79.0,8,12,Авторский проект,Кирпичный,2500.0
 Мирабадский район,2,50.0,4,8,Евроремонт,Кирпичный,900.0
 Мирзо-Улугбекский район,2,60.0,4,9,Черновая отделка,Панельный,800.0
 Мирабадский район,2,50.0,4,9,Евроремонт,Кирпичный,700.0
 Чиланзарский район,1,48.0,6,7,Евроремонт,Кирпичный,600.0
 Шайхантахурский район,3,103.0,5,7,Авторский проект,Кирпичный,1400.0
 Яккасарайский район,2,68.0,6,8,Евроремонт,Кирпичный,1300.0
 Мирзо-Улугбекский район,1,30.0,3,7,Евроремонт,Кирпичный,450.0
 Чиланзарский район,1,49.0,6,9,Евроремонт,Монолитный,600.0
 Яккасарайский район,3,75.0,2,9,Евроремонт,Панельный,1000.0
 Чиланзарский район,3,75.0,3,8,Евроремонт,Кирпичный,800.0
 Яккасарайский район,2,52.0,3,4,Средний,Кирпичный,800.0
 Мирзо-Улугбекский район,3,120.0,5,8,Авторский проект,Кирпичный,2200.0
 Мирабадский район,2,58.0,8,9,Средний,Монолитный,650.0
 Яккасарайский район,2,56.0,5,9,Авторский проект,Панельный,1000.0
 Мирабадский район,3,85.0,3,4,Евроремонт,Кирпичный,800.0
 Мирзо-Улугбекский район,4,90.0,4,4,Авторский проект,Кирпичный,1500.0
 Яккасарайский район,3,78.0,4,9,Авторский проект,Монолитный,1000.0
 Мирабадский район,2,72.0,2,9,Евроремонт,Панельный,550.0
 Мирзо-Улугбекский район,3,76.0,7,9,Авторский проект,Панельный,700.0
 Юнусабадский район,3,88.0,4,4,Средний,Кирпичный,800.0
 Шайхантахурский район,2,65.0,7,9,Евроремонт,Панельный,600.0
 Юнусабадский район,3,87.0,4,4,Евроремонт,Кирпичный,800.0
 Юнусабадский район,3,72.0,2,4,Средний,Панельный,450.0
 Яккасарайский район,1,30.0,1,1,Средний,Кирпичный,30.0
 Мирзо-Улугбекский район,3,58.0,4,5,Евроремонт,Кирпичный,650.0
 Чиланзарский район,1,33.0,4,4,Авторский проект,Панельный,500.0
 Мирабадский район,3,76.0,8,9,Евроремонт,Панельный,1200.0
 Юнусабадский район,3,87.0,4,4,Средний,Кирпичный,800.0
 Юнусабадский район,2,60.0,9,9,Евроремонт,Панельный,600.0
 Яккасарайский район,4,125.0,3,4,Авторский проект,Кирпичный,1500.0
 Юнусабадский район,2,83.0,5,9,Евроремонт,Монолитный,600.0
 Яккасарайский район,3,103.0,3,4,Средний,Кирпичный,800.0
 Юнусабадский район,5,100.0,7,13,Евроремонт,Монолитный,1800.0
 Мирабадский район,3,120.0,1,5,Евроремонт,Кирпичный,1200.0
 Чиланзарский район,2,45.0,3,4,Евроремонт,Панельный,450.0
 Мирзо-Улугбекский район,3,59.0,4,5,Авторский проект,Кирпичный,650.0
 Шайхантахурский район,3,112.0,7,9,Евроремонт,Кирпичный,2500.0
 Шайхантахурский район,3,112.0,3,9,Евроремонт,Кирпичный,2500.0
 Шайхантахурский район,3,95.0,4,9,Евроремонт,Кирпичный,1700.0
 Юнусабадский район,2,60.0,7,9,Евроремонт,Панельный,500.0
 Шайхантахурский район,4,125.0,4,9,Евроремонт,Кирпичный,3500.0
 Мирабадский район,2,63.0,2,9,Евроремонт,Панельный,550.0
 Шайхантахурский район,3,104.0,7,9,Евроремонт,Кирпичный,2200.0
 Яккасарайский район,2,45.0,5,7,Авторский проект,Кирпичный,700.0
 Шайхантахурский район,3,95.0,3,8,Евроремонт,Кирпичный,2000.0
 Юнусабадский район,3,76.0,4,8,Евроремонт,Кирпичный,900.0
 Мирабадский район,4,188.0,7,8,Евроремонт,Кирпичный,1500.0
 Юнусабадский район,3,90.0,9,9,Евроремонт,Кирпичный,1000.0
 Мирзо-Улугбекский район,1,40.0,1,4,Средний,Кирпичный,550.0
 Чиланзарский район,4,174.0,7,9,Евроремонт,Панельный,600.0
 Чиланзарский район,2,56.0,4,9,Евроремонт,Монолитный,700.0
 Мирзо-Улугбекский район,2,62.0,4,9,Авторский проект,Кирпичный,700.0
 Мирзо-Улугбекский район,3,100.0,6,9,Евроремонт,Кирпичный,800.0
 Юнусабадский район,3,100.0,6,10,Евроремонт,Кирпичный,2000.0
 Шайхантахурский район,2,54.0,4,4,Средний,Кирпичный,350.0
 Юнусабадский район,2,60.0,3,5,Евроремонт,Кирпичный,600.0
 Чиланзарский район,4,100.0,4,9,Евроремонт,Монолитный,800.0
 Мирзо-Улугбекский район,3,102.0,6,8,Евроремонт,Кирпичный,1000.0
 Юнусабадский район,4,90.0,2,9,Евроремонт,Панельный,900.0
 Мирабадский район,4,190.0,6,8,Евроремонт,Кирпичный,2000.0
 Мирабадский район,4,104.0,6,9,Евроремонт,Панельный,800.0
 Юнусабадский район,3,102.0,4,9,Евроремонт,Кирпичный,1200.0
 Мирабадский район,2,50.0,2,4,Евроремонт,Кирпичный,500.0
